point,longitude,latitude,grid_id,left_bound,top_bound,right_bound,bottom_bound
4830,-123.1733451,48.6950869,78,486958.5416,5394096.821,487958.5416,5393096.821
4831,-123.1666123,48.6950869,78,486958.5416,5394096.821,487958.5416,5393096.821
4902,-123.1733451,48.6995868,78,486958.5416,5394096.821,487958.5416,5393096.821
4903,-123.1666123,48.6995868,78,486958.5416,5394096.821,487958.5416,5393096.821
4686,-123.1733451,48.68608712,79,486958.5416,5393096.821,487958.5416,5392096.821
4687,-123.1666123,48.68608712,79,486958.5416,5393096.821,487958.5416,5392096.821
4758,-123.1733451,48.69058701,79,486958.5416,5393096.821,487958.5416,5392096.821
4759,-123.1666123,48.69058701,79,486958.5416,5393096.821,487958.5416,5392096.821
4542,-123.1733451,48.67708733,80,486958.5416,5392096.821,487958.5416,5391096.821
4543,-123.1666123,48.67708733,80,486958.5416,5392096.821,487958.5416,5391096.821
4614,-123.1733451,48.68158723,80,486958.5416,5392096.821,487958.5416,5391096.821
4615,-123.1666123,48.68158723,80,486958.5416,5392096.821,487958.5416,5391096.821
4398,-123.1733451,48.66808755,81,486958.5416,5391096.821,487958.5416,5390096.821
4399,-123.1666123,48.66808755,81,486958.5416,5391096.821,487958.5416,5390096.821
4470,-123.1733451,48.67258744,81,486958.5416,5391096.821,487958.5416,5390096.821
4471,-123.1666123,48.67258744,81,486958.5416,5391096.821,487958.5416,5390096.821
4254,-123.1733451,48.65908776,82,486958.5416,5390096.821,487958.5416,5389096.821
4255,-123.1666123,48.65908776,82,486958.5416,5390096.821,487958.5416,5389096.821
4326,-123.1733451,48.66358765,82,486958.5416,5390096.821,487958.5416,5389096.821
4327,-123.1666123,48.66358765,82,486958.5416,5390096.821,487958.5416,5389096.821
4110,-123.1733451,48.65008797,83,486958.5416,5389096.821,487958.5416,5388096.821
4111,-123.1666123,48.65008797,83,486958.5416,5389096.821,487958.5416,5388096.821
4182,-123.1733451,48.65458787,83,486958.5416,5389096.821,487958.5416,5388096.821
