id,left,top,right,bottom,name,length
950,509958.541599999996834,5373096.820999999530613,510958.541599999996834,5372096.821000000461936,,
951,509958.541599999996834,5372096.821000000461936,510958.541599999996834,5371096.821000000461936,,
952,509958.541599999996834,5371096.821000000461936,510958.541599999996834,5370096.821000000461936,,
953,509958.541599999996834,5370096.821000000461936,510958.541599999996834,5369096.820999999530613,,
954,509958.541599999996834,5369096.820999999530613,510958.541599999996834,5368096.821000000461936,,
955,509958.541599999996834,5368096.821000000461936,510958.541599999996834,5367096.821000000461936,,
956,509958.541599999996834,5367096.821000000461936,510958.541599999996834,5366096.821000000461936,,
957,509958.541599999996834,5366096.821000000461936,510958.541599999996834,5365096.820999999530613,,
958,509958.541599999996834,5365096.820999999530613,510958.541599999996834,5364096.821000000461936,,
959,509958.541599999996834,5364096.821000000461936,510958.541599999996834,5363096.821000000461936,,
960,509958.541599999996834,5363096.821000000461936,510958.541599999996834,5362096.821000000461936,,
961,509958.541599999996834,5362096.821000000461936,510958.541599999996834,5361096.820999999530613,,
962,509958.541599999996834,5361096.820999999530613,510958.541599999996834,5360096.821000000461936,,
963,510958.541599999996834,5397096.820999999530613,511958.541599999996834,5396096.821000000461936,,
964,510958.541599999996834,5396096.821000000461936,511958.541599999996834,5395096.821000000461936,,
965,510958.541599999996834,5395096.821000000461936,511958.541599999996834,5394096.821000000461936,,
966,510958.541599999996834,5394096.821000000461936,511958.541599999996834,5393096.820999999530613,,
967,510958.541599999996834,5393096.820999999530613,511958.541599999996834,5392096.821000000461936,,
968,510958.541599999996834,5392096.821000000461936,511958.541599999996834,5391096.821000000461936,,
969,510958.541599999996834,5391096.821000000461936,511958.541599999996834,5390096.821000000461936,,
970,510958.541599999996834,5390096.821000000461936,511958.541599999996834,5389096.820999999530613,,
971,510958.541599999996834,5389096.820999999530613,511958.541599999996834,5388096.821000000461936,,
